問題編號,問題,答案編號,回答內容,來源工作表
PC22,寵物掉毛正常嗎？,PCA22,換季掉毛屬正常，若掉毛過度應考慮皮膚問題或營養不均。,健康與醫療
PC23,如何照顧寵物牙齒？,PCA23,定期刷牙、提供潔牙零食或玩具，定期口腔檢查。,健康與醫療
PC24,寵物有體臭怎麼處理？,PCA24,需判別是否皮膚病、耳朵感染或口腔問題。,健康與醫療
PC25,寵物可以用人用藥嗎？,PCA25,絕對不可，請遵從獸醫指示使用專用藥物。,健康與醫療
PC26,怎麼知道寵物是否有發燒？,PCA26,用寵物專用體溫計，正常肛溫約38–39.3°C。,健康與醫療
PC27,寵物長腫塊怎麼辦？,PCA27,應盡速就醫檢查是否為腫瘤、膿瘍或脂肪瘤。,健康與醫療
PC28,狗狗需要打哪些疫苗？,PCA28,包括五合一、狂犬病、犬副流感、萊姆病等。,疫苗與預防
PC29,貓咪需要打哪些疫苗？,PCA29,包括三合一、貓白血病、狂犬病等。,疫苗與預防
PC30,疫苗要打幾次？,PCA30,幼寵需打初次與追加劑，成年後每年加強一次。,疫苗與預防
PC31,不打疫苗有什麼風險？,PCA31,易感染傳染病，甚至威脅人畜共通健康。,疫苗與預防
PC32,打疫苗後有副作用嗎？,PCA32,可能短暫疲倦或食慾差，極少數有過敏反應。,疫苗與預防
PC33,如何預防跳蚤和壁蝨？,PCA33,定期使用驅蟲藥、保持環境清潔。,疫苗與預防
PC34,驅蟲要多久一次？,PCA34,內外驅蟲建議每1–3個月一次，依產品與地區風險決定。,疫苗與預防
PC35,寵物是否需要結紮？,PCA35,可避免繁殖與降低特定疾病風險。,疫苗與預防
PC36,幾歲可以結紮？,PCA36,通常6–8個月大即可，視健康狀況與品種調整。,疫苗與預防
PC37,可以用人類洗髮精幫寵物洗澡嗎？,PCA37,不可。人用產品pH值不合，易造成皮膚刺激。,洗澡與美容
PC38,洗完澡為何要吹乾？,PCA38,濕氣會滋生黴菌與細菌，特別是長毛動物更需完全吹乾。,洗澡與美容
PC39,有哪些美容服務可選擇？,PCA39,包括洗澡、剪毛、修指甲、擠肛門腺、清潔耳朵等。,洗澡與美容
PC40,怎麼自己幫寵物剪指甲？,PCA40,使用寵物指甲剪，小心避開血線，剪後可磨平邊緣,洗澡與美容
PC41,寵物有體味怎麼辦？,PCA41,除了定期洗澡，應檢查耳朵、口腔與皮膚是否發炎。,洗澡與美容
PC42,狗狗洗澡時很怕水怎麼辦？,PCA42,使用零食安撫，避免水直接沖臉，從腳部慢慢適應。,洗澡與美容
PC43,毛打結怎麼處理？,PCA43,先用手或潤絲劑輕輕拆開，嚴重時建議修剪或交由美容師處理。,洗澡與美容
PC44,為什麼要定期擠肛門腺？,PCA44,若不排出，可能造成腫脹、發炎甚至破裂。,洗澡與美容
PC45,換季時掉毛嚴重怎麼辦？,PCA45,多梳毛、補充營養、保持皮膚健康，必要時就醫。,洗澡與美容
PC46,寵物尿在不對地方怎麼辦？,PCA46,立即清潔氣味、重新建立定點如廁習慣，可搭配獎勵制。,日常行為與訓練
PC47,狗狗吠叫不停怎麼處理？,PCA47,找出觸發原因（警戒、焦慮、無聊），針對原因訓練改善。,日常行為與訓練
PC48,可以用打罵來訓練嗎？,PCA48,不建議。正向訓練比責罵更有效且不傷害關係。,日常行為與訓練
PC49,如何教狗狗坐下、握手等指令？,PCA49,使用口令+手勢+零食鼓勵，循序漸進練習。,日常行為與訓練
PC50,為什麼貓咪總是跳上桌子？,PCA50,因為好奇與視野需求。可設置貓跳台並限制禁區。,日常行為與訓練
PC51,狗狗會分離焦慮嗎？,PCA51,會。需透過短暫離開漸進適應、玩具陪伴、穩定作息緩解。,日常行為與訓練
PC52,可以讓寵物睡在床上嗎？,PCA52,視飼主習慣與衛生考量而定，重要的是保持清潔。,日常行為與訓練
PC53,寵物一直舔自己怎麼辦？,PCA53,若過度舔毛可能是過敏、壓力或傷口，需就醫確認。,日常行為與訓練
PC54,怎麼跟寵物建立信任關係？,PCA54,多陪伴、溫和互動、避免驚嚇、建立安全感與規律作息,日常行為與訓練
PC55,家中哪些東西對寵物有毒？,PCA55,包括巧克力、酒精、洋蔥、百合花、清潔劑等。,環境與居家安全
PC56,怎麼防止寵物咬電線？,PCA56,用苦味劑、收線管包覆，並提供咬咬玩具轉移。,環境與居家安全
PC57,貓咪會跳窗戶怎麼辦？,PCA57,安裝紗窗或貓網，避免墜樓意外。,環境與居家安全
PC58,寵物能留在陽台嗎？,PCA58,不建議長時間單獨留置，應有遮陰、防墜與通風設施。,環境與居家安全
PC59,室內該準備什麼給寵物？,PCA59,舒適床墊、水碗、廁所（砂盆或尿墊）、玩具等。,環境與居家安全
PC60,貓砂該多久清一次？,PCA60,建議每日清除排泄物，整盆每週更換一次。,環境與居家安全
PC61,寵物能和小孩一起生活嗎？,PCA61,可以，但要教導小孩尊重與正確互動方式。,環境與居家安全
PC62,寵物打翻東西怎麼訓練改善？,PCA62,建立「不可以」的界線，避免把易碎物放在低處。,環境與居家安全
PC63,可以在家使用芳香精油嗎？,PCA63,很多精油對寵物有毒，使用前務必查明安全性。,環境與居家安全
PC64,如何帶寵物坐車不暈車？,PCA64,旅程前禁食、保持通風、用熟悉玩具安撫。嚴重者可請獸醫開藥。,旅遊與外出
PC65,帶寵物旅行需要準備什麼？,PCA65,食物、水、碗、尿墊、證件、藥品與習慣物品。,旅遊與外出
PC66,狗狗外出散步多久為佳？,PCA66,一天兩次、每次20–30分鐘，可依品種與年齡調整。,旅遊與外出
PC67,可以讓寵物自由奔跑嗎？,PCA67,公共場合應牽繩，除非是合法開放的寵物公園。,旅遊與外出
PC68,貓咪也可以外出嗎？,PCA68,可，但需適應訓練與胸背帶或推車輔助。,旅遊與外出
PC69,旅館可以帶寵物嗎？,PCA69,查詢「寵物友善」旅宿，有些須額外收費或遵守規定。,旅遊與外出
PC70,搭飛機怎麼帶寵物？,PCA70,須辦理航空公司規定的手續與健康證明，並裝入航空籠。,旅遊與外出
PC71,出國可以帶寵物嗎？,PCA71,需辦理檢疫、健康證明與入境許可，流程複雜建議提早規劃。,旅遊與外出
PC72,寵物外出走失怎麼辦？,PCA72,若有晶片與項圈能協助尋回，應立即通報動保機構與張貼協尋。,旅遊與外出
PC73,老年寵物食物需要更換嗎？,PCA73,是，需改為低熱量、高纖、易消化的配方。,老年寵物照護
PC74,老年寵物活動力變差怎麼辦？,PCA74,適當運動可延緩退化，勿強迫，可使用輔助器具。,老年寵物照護
PC75,要做哪些健康檢查？,PCA75,建議半年一次血檢、心臟、腎功能與牙科評估。,老年寵物照護
PC76,寵物出現失禁怎麼辦？,PCA76,鋪吸水墊、調整飲食、就醫檢查是否泌尿問題。,老年寵物照護
PC77,老狗/貓睡很多正常嗎？,PCA77,正常，但若嗜睡或不願互動，應檢查是否身體不適。,老年寵物照護
PC78,關節退化怎麼處理？,PCA78,使用關節保健品、保暖床墊、減少跳高或爬樓梯。,老年寵物照護
PC79,老年寵物容易焦慮嗎？,PCA79,是。建立規律作息與陪伴，有助減緩焦慮與退化。,老年寵物照護
PC80,寵物會有老年癡呆嗎？,PCA80,有可能，表現為迷路、亂叫、日夜顛倒等，應就醫評估。,老年寵物照護
PC81,如何讓寵物善終？,PCA81,提供尊嚴、舒適與陪伴，必要時考慮安寧照護或安樂選項。,老年寵物照護
PC82,怎麼處理寵物嘔吐？,PCA82,偶爾可觀察禁食6小時，若頻繁或伴隨血液、無力應就醫。,特殊情況應對（走失、中毒、交配等）
PC83,寵物中毒怎麼急救？,PCA83,記下毒物種類，勿自行催吐，立即送醫處理。,特殊情況應對（走失、中毒、交配等）
PC84,狗狗咬人怎麼辦？,PCA84,立即隔離與清潔傷口，聯絡獸醫與當地動保機構處理。,特殊情況應對（走失、中毒、交配等）
PC85,寵物走失怎麼辦？,PCA85,通報動保處、動物醫院、張貼協尋、發社群與寵物平台。,特殊情況應對（走失、中毒、交配等）
PC86,突然行為異常怎麼辦？,PCA86,可能是疼痛、疾病或驚嚇，應儘快評估與就醫。,特殊情況應對（走失、中毒、交配等）
PC87,發情期要注意什麼？,PCA87,情緒起伏大、亂尿、嚎叫，若不繁殖建議結紮。,特殊情況應對（走失、中毒、交配等）
PC88,飼主生病住院，寵物怎麼辦？,PCA88,可托親友或專業寵物旅館照顧，避免臨時無人照料。,特殊情況應對（走失、中毒、交配等）
PC89,遇到自然災害怎麼辦？,PCA89,準備緊急避難包：飼料、水、藥物、繩帶、疫苗紀錄等。,特殊情況應對（走失、中毒、交配等）
PC90,飼養寵物最重要的是什麼？,PCA90,長期承諾、愛與耐心，讓牠成為你家庭的一份子。,特殊情況應對（走失、中毒、交配等）
PC91,飼養第二隻狗會比較好嗎？,PCA91,需視原本狗狗個性與飼主照顧能力，避免因競爭反而壓力更大。,進階飼養知識
PC92,為什麼貓咪會磨爪？,PCA92,是本能行為，為了去除老化爪殼與標記地盤。,進階飼養知識
PC93,狗狗有色盲嗎？,PCA93,狗狗視覺有限，能分辨藍與黃色，但紅綠色較難辨識。,進階飼養知識
PC94,怎麼區分公母寵物？,PCA94,狗貓生殖器官在幼年即可辨別，獸醫也可協助判定。,進階飼養知識
PC95,貓咪會記仇嗎？,PCA95,不會「記仇」，但會記得不愉快經驗並避免再接近。,進階飼養知識
PC96,寵物需要刷毛嗎？,PCA96,是。可去除死毛、促進血液循環，尤其長毛品種需天天梳理。,進階飼養知識
PC97,寵物會作夢嗎？,PCA97,是。研究顯示動物在睡眠中也會有REM期，會抽動四肢或發出聲音。,進階飼養知識
PC98,如何幫寵物拍照？,PCA98,用自然光、低角度拍攝並吸引注意力；可用聲音或點心誘導。,進階飼養知識
PC99,寵物會認路回家嗎？,PCA99,有些狗貓有方向感，但不可靠，仍應避免走失風險。,進階飼養知識
PC100,發情期持續多久？,PCA100,母狗約2–3週，貓則約7天左右。,繁殖與成長知識
PC101,怎麼知道母狗懷孕了？,PCA101,胃部變大、乳頭變色、活動力下降，建議照超音波確認。,繁殖與成長知識
PC102,寵物懷孕需要補充營養嗎？,PCA102,是，需增加蛋白質與熱量，請獸醫建議適當配方。,繁殖與成長知識
PC103,狗貓一次生幾隻？,PCA103,看品種大小，狗約4–10隻，貓約3–6隻。,繁殖與成長知識
PC104,小狗幾週可以吃副食品,PCA104,約3–4週開始離乳，可吃濕軟的幼犬飼料。,繁殖與成長知識
PC105,貓咪會照顧小貓嗎？,PCA105,會，母貓具有強烈護子本能，建議不要過度打擾。,繁殖與成長知識
PC106,小狗幾個月可離乳？,PCA106,通常在6–8週左右完成斷奶。,繁殖與成長知識
PC107,要幫寵物登記出生資訊嗎？,PCA107,若參加比賽或育種，血統登記需提交出生證明。,繁殖與成長知識
PC108,什麼是基因遺傳病？,PCA108,特定品種易攜帶疾病基因，如髖關節異常、視網膜萎縮等。,繁殖與成長知識
PC109,怎麼看出寵物開心？,PCA109,尾巴搖擺、靠近你、主動玩耍與呼嚕聲（貓）。, 寵物心理與情緒
PC110,寵物會憂鬱嗎？,PCA110,長期孤單或改變環境會讓寵物表現冷淡、食慾下降。, 寵物心理與情緒
PC111,如何陪伴老年寵物？,PCA111,每天與牠互動、輕柔按摩與話語交流，可讓牠安心。, 寵物心理與情緒
PC112,怎麼緩解分離焦慮？,PCA112,使用陪伴玩具、建立獨處時間、逐漸延長離開時間。, 寵物心理與情緒
PC113,寵物為什麼會亂大小便？,PCA113,可能是壓力、健康問題或訓練不完全所致。, 寵物心理與情緒
PC114,寵物會感到被忽略嗎？,PCA114,會。長時間無互動可能導致情緒行為問題。, 寵物心理與情緒
PC115,怎麼安撫害怕的狗？,PCA115,低聲安撫、避免擁抱強壓、可使用抗焦慮噴劑或外套。, 寵物心理與情緒
PC116,打雷時寵物躲起來正常嗎,PCA116,是正常壓力反應，可提供安全空間讓牠藏匿。, 寵物心理與情緒
PC117,寵物認得自己的名字嗎？,PCA117,經常呼喚與獎勵能讓牠辨認並回應名字。, 寵物心理與情緒
PC118,如何幫寵物刷牙？,PCA118,使用寵物牙膏與專用牙刷，一週至少2次。, 醫療與保健補充
PC119,寵物流口水是生病嗎？,PCA119,若頻繁、黏稠，可能為口腔問題或中毒徵兆。, 醫療與保健補充
PC120,寵物貧血有哪些症狀？,PCA120,虛弱、黏膜蒼白、食慾不佳，需抽血檢查。, 醫療與保健補充
PC121,可以給寵物保健食品嗎？,PCA121,可以，但須選擇適合種類與依建議劑量使用。, 醫療與保健補充
PC122,寵物生病該看哪科？,PCA122,多數為「小動物內科」，特殊科如眼科、皮膚科可進一步轉診。, 醫療與保健補充
PC123,疫苗打了還會得病嗎？,PCA123,仍有極小機率感染，但症狀較輕，保護力仍高。, 醫療與保健補充
PC124,寵物需要輸血嗎？,PCA124,有些重病或外傷時確實需輸血，獸醫會做交叉配對。, 醫療與保健補充
PC125,醫療費太貴怎麼辦？,PCA125,可考慮投保寵物保險，平時定期檢查預防重症。, 醫療與保健補充
PC126,寵物能做復健嗎？,PCA126,有。如水療、磁療、關節伸展可改善術後或老年問題。, 醫療與保健補充
PC127,寵物可以上IG/TikTok嗎？,PCA127,當然可以，許多毛孩都有自己的帳號與粉絲。,社群與紀錄
PC128,寵物寫真需要專業拍嗎？,PCA128,可找寵物攝影師或使用手機搭配道具、背景拍攝。,社群與紀錄
PC129,可以幫寵物穿衣服嗎？,PCA129,若天氣寒冷或皮膚保護需要，可適度穿著。,社群與紀錄
PC130,怎麼做寵物成長相簿？,PCA130,每月拍攝1張，記錄從幼年到成年的變化。,社群與紀錄
PC131,有寵物專屬的社交平台嗎？,PCA131,有，如Petpetgo、毛起來愛、Wag等。,社群與紀錄
PC132,怎麼辦寵物生日派對？,PCA132,預約寵物友善空間、製作蛋糕、準備服飾與禮物。,社群與紀錄
PC133,可以幫寵物取綽號嗎？,PCA133,當然可以，牠們會記住你給予的稱呼與語調。,社群與紀錄
PC134,寵物會喜歡照鏡子嗎？,PCA134,多數不會認出自己，但有些會出現好奇或敵意。,社群與紀錄
PC135,寵物紀錄資料要備份嗎？,PCA135,建議雲端備份，以防遺失重要健康與身分資料。,社群與紀錄
PC136,寵物噎到怎麼辦？,PCA136,若寵物仍能咳嗽或發出聲音，應保持鎮定並鼓勵牠自行排出異物，不要隨意伸手進嘴巴掏取；若完全無法呼吸、發聲且牙齦變紫，表示是完全阻塞，此時需立刻進行急救，例如小型犬貓可抱起頭朝下拍背、胸腔擠壓，大型犬可採立姿或側躺進行腹部擠壓（哈姆立克法），並在每次動作後檢查口腔是否可見異物，同時盡快送醫。,寵物居家急救與緊急應變
PC137,怎麼對犬貓做 CPR？,PCA137,當寵物沒有呼吸且摸不到脈搏時，需立刻進行 CPR。將寵物側躺，雙手置於胸腔最寬處垂直下壓，頻率為每分鐘 100–120 次，深度約為胸腔寬度的 1/3–1/2；按壓 30 次後進行 2 次人工呼吸（口對鼻吹氣，胸廓輕微抬起為宜），並持續循環直到恢復心跳或交由獸醫處理。施救過程中需避免過度吹氣導致胃脹氣，並盡可能保持按壓不中斷。,寵物居家急救與緊急應變
PC138,中暑有哪些徵兆與應對方法？,PCA138,寵物中暑常見症狀包括喘促不止、流口水、步態不穩、嘔吐腹瀉、牙齦鮮紅或發白、虛弱甚至昏迷。發現疑似中暑時，應立即將牠移至陰涼通風處，卸下項圈和口罩，使用溫涼水（非冰水）打濕腹股溝、腋下與腳墊，並用電扇輔助降溫，當體溫降至約 39.5°C 即停止主動降溫以避免低溫過度，能吞嚥的情況下可少量飲水，並立即送醫檢查。,寵物居家急救與緊急應變
PC139,遇到癲癇發作怎麼辦？,PCA139,發作時不要將手或物品放入口中，避免咬傷或造成更多損害，應將周圍尖銳物移開並保持環境安靜，讓寵物躺在安全的平面並在頭下墊軟布，持續觀察並計時，若發作超過 5 分鐘或短時間內重複發作，屬於危急狀況，需立即送醫；發作停止後讓牠安靜休息並保暖，並記錄過程（影片或描述）供獸醫診斷。,寵物居家急救與緊急應變
PC140,寵物大出血時怎麼止血？,PCA140,應立即以乾淨紗布或布料直接壓迫出血處 3–5 分鐘，期間不要掀開檢查，以免影響凝血，若血液滲出應在外層加疊新的紗布持續加壓，必要時用棉墊和彈性繃帶固定並確保末端肢體不因包紮過緊而變紫或冰冷；若出血量大且來自動脈，且無法以壓迫控制，可在上方使用止血帶暫時止血，每 2–3 分鐘稍微放鬆一次，並儘快送醫。,寵物居家急救與緊急應變
PC141,寵物中毒時該怎麼辦？,PCA141,先將寵物移離毒源並確保牠安全，保留可能的毒物包裝、殘留物或植物樣本，記下攝入時間與大約的量，並立即聯絡獸醫；在未經獸醫指示下不要自行催吐，尤其是腐蝕性物質、昏迷或抽搐的情況下更危險。運送途中應保持安靜、避免奔跑以減少毒物吸收，並將毒物資訊完整告知獸醫以利處理。,寵物居家急救與緊急應變
PC142,骨折或脫臼怎麼處理？,PCA142,不要自行復位，應盡量限制受傷部位的活動，可用毛巾或布條將患肢靠近身體固定，或使用硬板作為臨時夾板固定上下關節，避免進一步移動造成二次傷害；若同時有出血，先止血再固定，並在運送過程中減少顛簸，盡快送醫做 X 光檢查與治療。,寵物居家急救與緊急應變
PC143,燒燙傷該如何急救？,PCA143,熱燙傷應立即用 15–25°C 的涼水沖洗傷口 10–15 分鐘以降溫，但不要使用冰塊；化學灼傷需大量清水沖洗至少 15 分鐘並避免觸碰傷口周邊；電灼傷要先切斷電源再接近寵物，以免自己觸電。任何燒燙傷都不要塗抹牙膏、油膏等物質，應保持傷口清潔覆蓋並立即送醫，以防感染與評估深度。,寵物居家急救與緊急應變
PC144,眼睛受傷時怎麼辦？,PCA144,眼睛受傷時不要直接用手拔除異物，可用生理食鹽水輕柔沖洗以去除表面灰塵，避免用力過大傷到角膜；應防止寵物用爪子抓眼睛，可戴上伊莉莎白頭套保護；若眼睛流血、腫脹、渾濁或眼球外突，應用乾淨紗布輕蓋保護並立即送醫，因為眼部損傷處理時效性非常關鍵，拖延可能造成永久失明。,寵物居家急救與緊急應變
PC145,貓咪為什麼會亂抓家具？,PCA145,抓東西是貓的天性，除了磨爪外，還有標記氣味與舒展肌肉的作用。要改善，可以提供足夠的貓抓板（直立與水平型皆有），放在牠常抓的位置；當牠使用抓板時給予零食或撫摸獎勵，若抓家具時則用拍手或轉移注意力制止，同時用保護膜或雙面膠貼在家具表面減少吸引力。,寵物日常行為問題與改善方法
PC146,狗狗喜歡撲人怎麼辦？,PCA146,撲人通常是打招呼或索取關注的行為，但可能嚇到小孩或客人。訓練時，當狗狗撲人應立即轉身忽視，等牠四腳著地並安靜下來再給予獎勵；同時教導「坐下」作為替代行為，讓牠學會用坐下來換取注意與撫摸。,寵物日常行為問題與改善方法
PC147,貓咪半夜亂跑亂叫怎麼解決？,PCA147,這可能是天性活動時間（黎明和黃昏）導致，也可能是精力過剩或發情行為。解決方式包括在睡前與貓進行較多的互動遊戲消耗精力，提供能獨自玩耍的玩具，並確保晚上前有足夠的進食量；若是發情導致，建議結紮以減少夜間吵鬧行為。,寵物日常行為問題與改善方法
PC148,寵物會偷翻垃圾桶怎麼辦？,PCA148,翻垃圾通常是尋找食物或好奇。解決辦法包括使用有蓋且不易被打開的垃圾桶、將垃圾桶放在櫃子或高處、固定垃圾桶避免傾倒；同時確保寵物有足夠的食物與玩具，降低因無聊而翻找垃圾的動機。,寵物日常行為問題與改善方法
PC149,狗狗散步時會拉繩怎麼糾正？,PCA149,拉繩可能是興奮或急於探索。可使用胸背帶搭配短牽繩，當狗狗拉扯時立即停下不前進，等牠回到你身邊或牽繩鬆弛時再繼續走，重複多次讓牠明白拉扯無法達到目的。結合口令如「慢慢」與獎勵可以加快學習效果。,寵物日常行為問題與改善方法
PC150,貓咪為什麼會咬人？,PCA150,可能是玩心過大、過度刺激、警戒防禦或疼痛反應。需觀察牠咬人前的肢體信號（尾巴急甩、耳朵後貼、瞳孔放大），提前停止互動；提供合適的咬咬玩具取代手，避免用手直接與貓咪激烈玩耍。若咬人是因疼痛，應立即檢查身體狀況並就醫。,寵物日常行為問題與改善方法
PC151,狗狗為什麼會護食？,PCA151,護食是源於資源保護的本能。改善方法是在平時餵食時偶爾用手添加美味的食物，讓牠習慣有人靠近時有好事發生；避免突然奪走牠的食物，逐步練習交換物品，建立「給我」的指令與互信。若護食嚴重且伴隨攻擊行為，需在專業訓練師指導下進行。,寵物日常行為問題與改善方法
PC152,貓咪為什麼會躲起來？,PCA152,躲藏可能是正常的休息偏好，也可能因環境變化、壓力、害怕或生病。若躲藏時間不長且仍正常飲食、排泄與互動，多屬正常；若長時間不出來或伴隨食慾下降、精神萎靡，應就醫檢查，並在家中提供安全且安靜的藏身空間。,寵物日常行為問題與改善方法
PC153,狗狗會拆家怎麼辦？,PCA153,拆家通常是精力過剩、分離焦慮或無聊造成。可透過增加每日運動量、提供可咬玩具、益智食物球等方式轉移注意力，並在外出前先帶牠消耗體力。若是分離焦慮，可逐步練習短時間離開、建立安全區域，並在外出時提供能安撫情緒的物品（如帶有主人氣味的毛巾）。,寵物日常行為問題與改善方法
PC154,寵物在車上容易暈車怎麼辦？,PCA154,出發前 3–4 小時避免餵食，保持車內通風與舒適溫度，讓牠能看見外部景色或固定在安全座椅上，減少搖晃感；可攜帶毛巾或墊子吸收異味，若暈車嚴重，可事先諮詢獸醫使用暈車藥。,帶寵物出門與旅行注意事項
PC155,帶寵物搭火車或高鐵需要注意什麼？,PCA155,需將寵物放置於符合規格的運輸籠內，並確保籠內鋪好吸水墊與透氣良好；不同交通工具對尺寸與重量有限制，出發前應先查詢相關規定，並提前到站預留時間辦理手續。,帶寵物出門與旅行注意事項
PC156,寵物第一次出門可能會很緊張，怎麼減輕牠的焦慮？,PCA156,可在出門前幾天讓牠熟悉運輸籠或胸背帶，並短時間帶到附近走走，逐步增加外出時間與距離；外出時使用熟悉的墊子、玩具或帶有主人氣味的物品安撫，保持語氣溫和並給予零食獎勵。,帶寵物出門與旅行注意事項
PC157,旅行中如何確保寵物安全？,PCA157,外出時務必使用牽繩或胸背帶，不要讓牠單獨留在車內或陌生環境；住宿時檢查房間有無危險物品或可逃脫的縫隙，並確保寵物有固定的休息區域與飲水來源。,帶寵物出門與旅行注意事項
PC158,可以帶寵物上飛機嗎？,PCA158,多數航空公司允許小型寵物以隨身方式放置於座位下的專用航空箱，大型寵物則需托運至貨艙。需提前確認航空公司規範，準備健康證明與疫苗接種紀錄，並使用符合 IATA 標準的航空箱。,帶寵物出門與旅行注意事項
PC159,出國帶寵物需要辦什麼手續？,PCA159,需確認目的地國家的檢疫與入境規定，通常需要健康檢查證明、狂犬病疫苗證明與植入晶片，有些國家還需隔離檢疫；程序繁瑣，建議至少提前 3–6 個月準備。,帶寵物出門與旅行注意事項
PC160,寵物在外面走失怎麼辦？,PCA160,立即在當地尋找，並向附近動物醫院、收容所與警察報案，同時張貼協尋公告或在社群平台發布訊息。若寵物有晶片與名牌，可以大大提高被找回的機率。,帶寵物出門與旅行注意事項
PC161,旅途中寵物突然生病該怎麼處理？,PCA161,應隨身攜帶緊急醫療用品與當地獸醫院清單，若出現嘔吐、腹瀉、呼吸急促等症狀，先讓牠休息並保持水分，情況持續或惡化就立即送醫；旅行前可事先詢問主治獸醫是否需要攜帶備用藥物。,帶寵物出門與旅行注意事項
PC162,帶寵物旅行有哪些額外花費需要考慮？,PCA162,除了交通與住宿費外，還需考慮寵物友善飯店的額外清潔費、交通運輸附加費（火車、飛機托運費）、臨時醫療費用、保險，以及可能需要購買的額外用品如便攜籠、可折疊水碗等。,帶寵物出門與旅行注意事項
PC163,健康檢查通常包含哪些項目？,PCA163,完整檢查包括體重與體態評估、牙齒與口腔檢查、眼耳鼻口觀察、皮膚與毛髮檢視、心肺聽診、腹部觸診，以及血液生化檢查、全血計數、尿液與糞便分析；必要時會進行 X 光、超音波或心電圖檢查。,寵物健康檢查與保健
PC164,血液檢查能檢測什麼？,PCA164,血液檢查可以檢測紅白血球數、血紅素濃度、肝腎功能、血糖、膽固醇與電解質平衡，這些數據能幫助獸醫判斷是否有感染、貧血、代謝異常或器官疾病。,寵物健康檢查與保健
PC165,為什麼老年寵物需要更頻繁檢查？,PCA165,老年寵物的器官功能下降速度較快，且慢性病（如腎臟病、心臟病、糖尿病）在早期症狀不明顯，透過半年一次的檢查能更早發現並開始治療，延長健康壽命與生活品質。,寵物健康檢查與保健
PC166,日常保健應該注意哪些方面？,PCA166,日常保健包括均衡飲食、適當運動、規律作息、定期驅蟲與疫苗接種、維持口腔清潔、定期梳毛與洗澡，以及提供安全舒適的生活環境，並留意任何行為或食慾的變化。,寵物健康檢查與保健
PC167,牙齒保健有多重要？,PCA167,牙齒健康直接影響進食與整體健康，牙周病會導致口臭、牙齦炎，甚至讓細菌進入血液影響心臟與腎臟。建議每週至少刷牙 2–3 次，搭配潔牙零食或玩具，並定期讓獸醫做專業洗牙。,寵物健康檢查與保健
