Q11,如何查看健康記錄趨勢？,A11,1.進入「健康記錄」頁面 2.選擇寵物和記錄類型 3.系統自動顯示趨勢圖表 4.可切換時間範圍(月、季、年) 5.點擊圖表查看詳細數據
Q12,如何預約獸醫門診？,A12,1.點擊「預約掛號」功能 2.選擇獸醫院和醫生 3.選擇可預約的時段 4.填寫寵物資訊和症狀描述 5.確認預約資訊並提交 6.等待醫院確認
Q13,如何取消或修改預約？,A13,1.進入「我的預約」頁面 2.找到要修改的預約記錄 3.點擊「修改」或「取消」 4.選擇新的時段(修改)或確認取消 ※建議提前24小時修改
Q14,如何查看預約狀態？,A14,預約狀態說明：1.待確認-醫院尚未確認 2.已確認-預約成功 3.已完成-看診完成 4.已取消-預約取消 5.系統會發送狀態更新通知
Q15,如何發佈動態貼文？,A15,1.進入「社群專區」 2.點擊「發佈動態」 3.撰寫貼文內容 4.上傳寵物照片(可選) 5.添加標籤 6.點擊「發佈」
Q16,如何按讚和留言？,A16,1.瀏覽社群動態 2.點擊愛心圖示按讚 3.點擊留言圖示開啟留言區 4.輸入留言內容 5.點擊「送出」發表留言
Q17,如何關注其他用戶？,A17,1.瀏覽用戶個人頁面 2.點擊「關注」按鈕 3.關注後可在動態中優先看到該用戶貼文 4.可在「我的關注」中管理關注清單
Q18,如何瀏覽領養資訊？,A18,1.點擊「空心愛心領養」頁面 2.瀏覽可領養的寵物 3.使用篩選功能(品種、年齡、地區) 4.點擊寵物卡片查看詳細資訊 5.聯絡送養人或機構
Q19,如何發佈送養資訊？,A19,1.進入「空心愛心領養」頁面 2.點擊「我要送養」 3.填寫寵物詳細資訊 4.上傳清晰照片 5.說明送養原因和要求 6.留下聯絡方式 7.提交審核
Q20,領養流程是什麼？,A20,標準領養流程：1.線上瀏覽寵物資訊 2.聯絡送養方表達意願 3.安排實地見面 4.填寫領養申請表 5.等待審核通過 6.簽署領養協議 7.完成領養手續
Q21,毛日好平台有哪些主要功能？,A21,毛日好平台提供完整的寵物生活管理功能：1.寵物檔案管理-建立和維護寵物基本資料 2.健康紀錄追蹤-記錄體重、疫苗、就醫記錄 3.日常照護提醒-餵食、運動、清潔提醒 4.社交互動功能-寵物社群、經驗分享 5.領養資訊平台-協助寵物找到新家庭 6.專業諮詢服務-獸醫建議、行為指導
Q22,如何使用AI客服？,A22,毛日好AI客服使用方式：1.點選右下角聊天機器人圖示 2.直接輸入您的問題或需求 3.AI會提供即時回答和建議 4.如需人工協助可點選【轉人工客服】 5.支援寵物照護、平台操作、功能使用等各類問題諮詢
Q23,毛日好與其他寵物平台有什麼不同？,A23,毛日好平台特色：1.整合性管理-涵蓋寵物生活各個面向 2.AI智能助手-24小時專業諮詢服務 3.社群互動功能-與其他飼主交流經驗 4.專業內容支援-獸醫師審核的照護知識 5.個人化提醒-根據寵物特性客製化建議 6.領養配對服務-協助流浪動物找到家庭
Q24,平台支援哪些寵物類型？,A24,毛日好支援多種寵物類型：1.犬類-各品種狗狗的專業照護 2.貓類-貓咪行為和健康管理 3.小動物-兔子、倉鼠、鳥類等 4.爬蟲類-專業爬蟲飼養指導 5.魚類-水族箱管理和魚類照護 6.其他寵物-系統可自訂寵物類型，適應各種特殊寵物需求
Q25,忘記登入的Email怎麼辦？,A25,忘記註冊Email解決方法：1.嘗試常用的Email地址登入 2.檢查Email收件匣是否有毛日好的註冊確認信 3.聯繫客服提供姓名和電話協助查找 4.若都無法找到，建議重新註冊新帳號 5.可使用Google帳號登入功能，避免忘記密碼問題
Q26,忘記密碼怎麼辦？,A26,"密碼重設步驟：
1. 點擊登入頁面的「忘記密碼？」連結
2. 輸入您註冊時使用的Email地址
3. 檢查信箱收取重設密碼郵件
4. 點擊郵件中的重設連結
5. 設定新密碼並確認

如果沒有收到郵件，請檢查垃圾郵件匣或使用Google帳號登入。"
Q27,無法登入怎麼辦？,A27,"登入問題解決方法：
1. 檢查Email拼寫是否正確
2. 確認密碼大小寫是否正確
3. 確認是否已完成Email驗證
4. 如果忘記密碼，點擊「忘記密碼？」
5. 也可以使用Google帳號登入

如果問題持續，請聯繫客服協助。"
Q28,如何修改個人資料？,A28,"修改個人資料步驟：
1. 登入後點擊右上角個人頭像
2. 選擇「個人檔案」或「帳號設定」
3. 修改需要更新的資料
4. 點擊「儲存」或「更新」按鈕
5. 系統會顯示修改成功訊息

可修改項目包括姓名、電話、地址等基本資料。"
Q29,如何註冊毛日好帳號？,A29,"毛日好註冊步驟：
1. 進入毛日好首頁，點擊右上角「註冊」按鈕
2. 選擇註冊方式：一般註冊或Google帳號註冊
3. 填寫基本資料：姓名、Email、使用者名稱、密碼
4. 勾選同意服務條款
5. 點擊「註冊」按鈕
6. 檢查Email收取驗證信件
7. 點擊信件中的驗證連結完成註冊"
Q30,忘記密碼怎麼辦？,A30,"密碼重設方法：
1. 在登入頁面點擊「忘記密碼？」連結
2. 輸入註冊時使用的Email地址
3. 檢查信箱收取密碼重設郵件
4. 點擊郵件中的重設連結
5. 設定新密碼並確認
6. 使用新密碼登入系統

※如果沒收到郵件，請檢查垃圾信箱"
Q31,如何修改個人資料？,A31,"個人資料修改步驟：
1. 登入後點擊右上角個人頭像
2. 選擇「個人資料」或「帳號設定」
3. 修改需要更新的資料：姓名、電話、地址等
4. 點擊「儲存」或「更新」按鈕
5. 系統會顯示修改成功訊息

※部分重要資料修改可能需要重新驗證"
Q32,如何新增寵物資料？,A32,"新增寵物步驟：
1. 登入後進入「我的寵物」頁面
2. 點擊「新增寵物」或「+」按鈕
3. 填寫寵物基本資料：名字、品種、年齡、性別
4. 上傳寵物照片（支援JPG、PNG格式，5MB以下）
5. 填寫健康狀況、個性等詳細資訊
6. 點擊「儲存」完成新增"
Q33,如何上傳寵物照片？,A33,"寵物照片上傳說明：
1. 支援格式：JPG、PNG
2. 檔案大小：不超過5MB
3. 建議尺寸：800x800像素以上
4. 每隻寵物可上傳多張照片
5. 系統會自動壓縮過大圖片
6. 照片用於寵物檔案展示和領養資訊

上傳方法：點擊「選擇檔案」→選取照片→確認上傳"
Q34,如何編輯寵物資料？,A34,"寵物資料編輯：
1. 進入「我的寵物」頁面
2. 找到要編輯的寵物，點擊「編輯」按鈕
3. 修改需要更新的資訊
4. 可新增或刪除照片
5. 更新健康狀況、體重等記錄
6. 點擊「儲存變更」完成編輯"
Q35,如何記錄寵物健康資料？,A35,"健康記錄功能：
1. 進入寵物頁面，點擊「健康記錄」
2. 選擇記錄類型：體重、疫苗、驅蟲、就醫等
3. 填寫詳細資訊和日期
4. 可上傳相關檔案或照片
5. 點擊「新增記錄」儲存
6. 系統會自動整理成時間軸顯示"
Q36,如何設定疫苗提醒？,A36,"疫苗提醒設定：
1. 在寵物健康記錄中點擊「疫苗記錄」
2. 新增已接種的疫苗資訊
3. 系統會根據疫苗類型自動計算下次接種日期
4. 開啟「提醒功能」
5. 設定提醒時間（如提前7天通知）
6. 系統會透過Email或站內通知提醒"
Q37,如何預約獸醫門診？,A37,"獸醫門診預約：
1. 點擊「預約門診」功能
2. 選擇地區和獸醫院
3. 挑選合適的醫師
4. 查看可預約時段
5. 選擇預約日期和時間
6. 填寫就診原因和聯絡方式
7. 確認預約資訊並送出
8. 等待獸醫院確認預約"
Q38,如何查詢預約記錄？,A38,"預約記錄查詢：
1. 進入「我的預約」頁面
2. 可查看所有預約狀態：待確認、已確認、已完成、已取消
3. 點擊個別預約可查看詳細資訊
4. 顯示預約時間、獸醫院、醫師、就診原因
5. 可查看獸醫院的聯絡資訊
6. 已完成的預約會顯示診療記錄"
Q39,如何取消或修改預約？,A39,"預約異動處理：
1. 進入「我的預約」找到要異動的預約
2. 點擊「修改」或「取消」按鈕
3. 修改：選擇新的日期時間（需重新確認）
4. 取消：確認取消並填寫取消原因
5. 送出異動申請
6. 系統會通知獸醫院

※請提前24小時申請異動，避免影響其他預約"
Q40,如何瀏覽領養資訊？,A40,"領養資訊瀏覽：
1. 點擊「寵物領養」進入領養專區
2. 可按品種、年齡、地區等條件篩選
3. 瀏覽寵物照片和基本資訊
4. 點擊寵物卡片查看詳細資料
5. 查看寵物個性、健康狀況、照護需求
6. 可查看送養人的基本資訊和聯絡方式"
Q41,如何申請領養寵物？,A41,"領養申請流程：
1. 找到想領養的寵物，點擊「我想領養」
2. 填寫領養申請表：居住環境、經濟狀況、養寵經驗
3. 上傳相關證明文件（如住址證明）
4. 送出申請並等待送養人回覆
5. 送養人可能會要求進行面談
6. 雙方同意後安排領養交接
7. 完成領養手續和寵物轉移"
Q42,如何刊登寵物送養？,A42,"寵物送養刊登：
1. 進入「我的寵物」選擇要送養的寵物
2. 點擊「刊登送養」
3. 上傳清楚的寵物照片
4. 詳細描述寵物個性和習慣
5. 填寫健康狀況和已接種疫苗
6. 設定領養條件和要求
7. 填寫聯絡資訊
8. 送出後等待系統審核"


